,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,time
0,AAPL,2017-05-19,153.06,153.98,152.63,153.38,26733798,36.2176052934,36.4352989878,36.115857153600004,36.2933248393,106935192,0.0,1.0,00:00:00+00:00
1,AAPL,2017-05-22,153.99,154.58,152.91,154.0,22340069,36.4376652236,36.5772731363,36.1821117562,36.440031459400004,89360276,0.0,1.0,00:00:00+00:00
2,AAPL,2017-05-23,153.8,154.9,153.31,154.9,19430358,36.3927067432,36.6529926822,36.2767611886,36.6529926822,77721432,0.0,1.0,00:00:00+00:00
3,AAPL,2017-05-24,153.34,154.17,152.67,153.84,19118319,36.283859895999996,36.4802574682,36.1253220968,36.402171686500004,76473276,0.0,1.0,00:00:00+00:00
4,AAPL,2017-05-25,153.87,154.35,153.03,153.73,19044463,36.4092703939,36.5228497127,36.2105065859,36.3761430926,76177852,0.0,1.0,00:00:00+00:00
5,AAPL,2017-05-26,153.61,154.24,153.31,154.0,21632202,36.3477482629,36.4968211188,36.2767611886,36.440031459400004,86528808,0.0,1.0,00:00:00+00:00
6,AAPL,2017-05-30,153.67,154.43,153.33,153.42,20034934,36.3619456777,36.5417795992,36.2814936602,36.3027897825,80139736,0.0,1.0,00:00:00+00:00
7,AAPL,2017-05-31,152.76,154.17,152.38,153.97,23162873,36.1466182191,36.4802574682,36.056701258400004,36.432932752,92651492,0.0,1.0,00:00:00+00:00
8,AAPL,2017-06-01,153.18,153.33,152.22,153.17,16180143,36.246000123099996,36.2814936602,36.0188414854,36.2436338873,64720572,0.0,1.0,00:00:00+00:00
9,AAPL,2017-06-02,155.45,155.45,152.89,153.58,27285861,36.7831356517,36.7831356517,36.1773792846,36.3406495554,109143444,0.0,1.0,00:00:00+00:00
10,AAPL,2017-06-05,153.93,154.45,153.46,154.34,24803858,36.4234678088,36.5465120708,36.3122547257,36.5204834769,99215432,0.0,1.0,00:00:00+00:00
11,AAPL,2017-06-06,154.45,155.81,153.78,153.9,26249630,36.5465120708,36.8683201409,36.3879742716,36.4163691013,104998520,0.0,1.0,00:00:00+00:00
12,AAPL,2017-06-07,155.37,155.98,154.48,155.02,20678772,36.764205765300005,36.9085461496,36.5536107783,36.6813875119,82715088,0.0,1.0,00:00:00+00:00
13,AAPL,2017-06-08,154.99,155.54,154.4,155.25,20771367,36.6742888045,36.804431774,36.5346808918,36.7358109356,83085468,0.0,1.0,00:00:00+00:00
14,AAPL,2017-06-09,148.98,155.19,146.02,155.19,64882700,35.2521810833,36.721613520700004,34.5517752838,36.721613520700004,259530800,0.0,1.0,00:00:00+00:00
15,AAPL,2017-06-12,145.42,146.09,142.51,145.74,71563614,34.4098011353,34.5683389345,33.7212265148,34.4855206811,286254456,0.0,1.0,00:00:00+00:00
16,AAPL,2017-06-13,146.59,147.45,145.15,147.16,33749154,34.6866507249,34.8901470045,34.3459127684,34.821526166,134996616,0.0,1.0,00:00:00+00:00
17,AAPL,2017-06-14,145.16,147.5,143.84,147.5,31224203,34.3482790042,34.9019781835,34.0359358774,34.9019781835,124896812,0.0,1.0,00:00:00+00:00
18,AAPL,2017-06-15,144.29,144.4798,142.21,143.32,31348832,34.1424164888,34.1873276445,33.6502394405,33.9128916154,125395328,0.0,1.0,00:00:00+00:00
19,AAPL,2017-06-16,142.27,144.5,142.2,143.78,49180748,33.6644368554,34.1921074408,33.6478732047,34.021738462600005,196722992,0.0,1.0,00:00:00+00:00
20,AAPL,2017-06-19,146.34,146.74,143.66,143.66,31449132,34.6274948297,34.722144262,33.9933436329,33.9933436329,125796528,0.0,1.0,00:00:00+00:00
21,AAPL,2017-06-20,145.01,146.87,144.94,146.87,24572170,34.3127854671,34.752905327600004,34.2962218164,34.752905327600004,98288680,0.0,1.0,00:00:00+00:00
22,AAPL,2017-06-21,145.87,146.0693,144.61,145.52,21064679,34.5162817467,34.5634408263,34.218136034699995,34.433463493299996,84258716,0.0,1.0,00:00:00+00:00
23,AAPL,2017-06-22,145.63,146.7,145.1199,145.77,18673365,34.4594920872,34.7126793188,34.338790398600004,34.4926193886,74693460,0.0,1.0,00:00:00+00:00
24,AAPL,2017-06-23,146.28,147.16,145.11,145.13,25997976,34.6132974148,34.821526166,34.3364478252,34.3411802968,103991904,0.0,1.0,00:00:00+00:00
25,AAPL,2017-06-26,145.82,148.28,145.38,147.17,25524661,34.5044505676,35.0865445766,34.400336192,34.823892401799995,102098644,0.0,1.0,00:00:00+00:00
26,AAPL,2017-06-27,143.73,146.16,143.62,145.01,24423643,34.0099072835,34.584902585100004,33.9838786896,34.3127854671,97694572,0.0,1.0,00:00:00+00:00
27,AAPL,2017-06-28,145.83,146.11,143.1601,144.49,21915939,34.5068168034,34.5730714061,33.8750555048,34.189741205,87663756,0.0,1.0,00:00:00+00:00
28,AAPL,2017-06-29,143.68,145.13,142.28,144.71,31116980,33.9980761045,34.3411802968,33.6668030912,34.2417983928,124467920,0.0,1.0,00:00:00+00:00
29,AAPL,2017-06-30,144.02,144.96,143.78,144.45,22328979,34.078528122,34.300954288,34.021738462600005,34.180276261799996,89315916,0.0,1.0,00:00:00+00:00
30,AAPL,2017-07-03,143.5,145.3,143.1,144.88,14258300,33.9554838599,34.3814063055,33.860834427600004,34.2820244016,57033200,0.0,1.0,00:00:00+00:00
31,AAPL,2017-07-05,144.09,144.79,142.7237,143.69,20758795,34.0950917727,34.2607282793,33.771792974099995,34.000442340300005,83035180,0.0,1.0,00:00:00+00:00
32,AAPL,2017-07-06,142.73,143.5,142.41,143.02,23374374,33.773283702600004,33.9554838599,33.697564156700004,33.8419045411,93497496,0.0,1.0,00:00:00+00:00
33,AAPL,2017-07-07,144.18,144.75,142.9,142.9,18505351,34.1163878949,34.251263336,33.8135097114,33.8135097114,74021404,0.0,1.0,00:00:00+00:00
